comment,lang,label,notes,comment_clean
i am a canadian now based in toronto originally from islamabad and this was just awesome,english,,,canadian based toronto originally islamabad awesome
"become a muslim, is good for u hey kids go study.",english,,,become muslim good hey kids go study
welcome to kashmir..and great cinematics bro.,english,,,welcome kashmir great cinematics bro
"de paratha , de paratha,, karl bhai being desi",english,,,de paratha de paratha karl bhai desi
you can see a smile face on the mountain at mid mountain,english,,,see smile face mountain mid mountain
editing color grading are toooooo osssmmm,english,,,editing color grading toooooo osssmmm
cant believe indians could visit this beauty before 1947,english,,,believe indians could visit beauty 1947
watching from nepal and i have also dream to travel like you you are my inspiration on my youtube journey,english,,,watching nepal dream travel like inspiration youtube journey
"it was indeed just a show, but they did kill someone who wasnt him",english,,,indeed show kill someone
"ankit your video are always bliss to watch, i have a request can you guide and tell about your winter jackets collection....?",english,,,ankit video always bliss watch request guide tell winter jackets collection
make it viral until og kashmiri samay raina noticed it.,english,,,make viral og kashmiri samay raina noticed
nice...,english,,,nice
who is anju kurian?,english,,,anju kurian
"yo karl, this doc is bimbo! me like da way you pieced it all together! and da fact you didnt give up despite all the various shenanigans!take care!",english,,,yo karl doc bimbo like da way pieced together da fact give despite various shenanigans take care
"very nice content! im planning to drive my car from spain to thailand next year, with spanish number plate. do you think its possible to cross the pakistanindian border with a valid cpd? i heard its impossible to cross with private vehicles...",english,,,nice content planning drive car spain thailand next year spanish number plate think possible cross pakistanindian border valid cpd heard impossible cross private vehicles
"karl, thank you for this video bro. it was an awesome insight into the various parts and culture of pakistan. i leave for my month of travelling pakistan in a few weeks, helped on by you and this incredible film. cheers mate!",english,,,karl thank video bro awesome insight various parts culture pakistan leave month travelling pakistan weeks helped incredible film cheers mate
"breath taking and beautiful! gilgit is disputed land and so is kashmir. both are under the un resolution awaiting referendum. but looks like pakistan maintains high security to safeguard locals n tourists, unlike the neighbor. people are people, its only love. people stare because there is very little in their space. some commented about the religious school, but probably that is all that they have, the state is bankrupt to run schools and children drop out of schools at high rate in this state. so dont be quick to point finger but read more to know more. school offers discipline to young mind be conventional or of a religious designation. lets be kind to each other especially children. hunza people are healthiest in this world. i am glad pakistan has taken good care of the region. nothing industrial built, topography maintained and people look to be at peace.people are commenting about kids marketing the kalma.... at least there are no violent mobs like happens in india where they force minority to say jai shree ram.yogi is setting up up summer hindu schools, how does that sound? perspectives!",english,,,breath taking beautiful gilgit disputed land kashmir un resolution awaiting referendum looks like pakistan maintains high security safeguard locals tourists unlike neighbor people people love people stare little space commented religious school probably state bankrupt run schools children drop schools high rate state quick point finger read know school offers discipline young mind conventional religious designation lets kind especially children hunza people healthiest world glad pakistan taken good care region nothing industrial built topography maintained people look peace people commenting kids marketing kalma least violent mobs like happens india force minority say jai shree ram yogi setting summer hindu schools sound perspectives
he is truly an indian now for saying that lol,english,,,truly indian saying lol
childrens try to convert hum in islamno future for pakistan,english,,,childrens try convert hum islamno future pakistan
pick of the video was the boy tried to convert you. you got scared and literally run away. hilarious.,english,,,pick video boy tried convert got scared literally run away hilarious
amazing cinematography really proud to be your subscriber. keep growing,english,,,amazing cinematography really proud subscriber keep growing
loved it,english,,,loved
you look like avinash big boss wala,english,,,look like avinash big boss wala
hey man why didnt you showed naran bazaar or the beautiful scenery on the way. it felt like your purposely not showing any of the famous and beautiful destinations in between the route. disappointed,english,,,hey man showed naran bazaar beautiful scenery way felt like purposely showing famous beautiful destinations route disappointed
ankit where is sarika why she doesnt come on vlogs???,english,,,ankit sarika come vlogs
"nice vlog tbh, however some of your information is probably coming from the indian pov. gilgit baltistan is not pok, it is a separate territory but it shares border with azad jammu and kashmir pok. and gb is also not disputed land, and it is as easy to go the gb for a foreigner as it is for visiting the other parts of the country.",english,,,nice vlog tbh however information probably coming indian pov gilgit baltistan pok separate territory shares border azad jammu kashmir pok gb disputed land easy go gb foreigner visiting parts country
"the video was really good but i have a question that , drones are allowed in kashmir or not ?",english,,,video really good question drones allowed kashmir
shes so beautiful and her voice,english,,,shes beautiful voice
o mai bhi story telling video banaya,english,,,mai bhi story telling video banaya
the way they had brain wash this kids is next level even this small kids want kalma recite karo muslim ban jao,english,,,way brain wash kids next level even small kids want kalma recite karo muslim ban jao
thanks for really so interesting and valuable video as always!,english,,,thanks really interesting valuable video always
thanks for motivated,english,,,thanks motivated
which month is this??,english,,,month
"you are just versatile youcan speak urdu ,,hindi,,musl",english,,,versatile youcan speak urdu hindi musl
"that girl also made me cry. so great to see the other side of border in terms of culture, thoughts and perspective.",english,,,girl made cry great see side border terms culture thoughts perspective
how did you shoot drone footages in kashmir? did you need to take any permissions?,english,,,shoot drone footages kashmir need take permissions
and now i miss home,english,,,miss home
"calling pakistan a part of undivided india is idiotic. its a part of undivided british india perhaps, but kpk and balochistan are not part of india...as a pashtun i dont consider my heritage to be indian at all. its afghan if you argue that is also indian then you have an agenda.",english,,,calling pakistan part undivided india idiotic part undivided british india perhaps kpk balochistan part india pashtun consider heritage indian afghan argue indian agenda
pakistan is super modernised o,english,,,pakistan super modernised
n0t even started but very exited rock u truly rock,english,,,n0t even started exited rock truly rock
"one day, the world will awaken to a time when borders fade, passports become memories, and humanity stands unitedbound only by compassion, not by divisions.",english,,,one day world awaken time borders fade passports become memories humanity stands unitedbound compassion divisions
hey karl.... you are taking a whole lot of efforts to make us see this.... actually it was a india before.... partition made a lot of beautiful land undiscoverable for us... but it is gods grace that you are roaming through those.... i wish if i could have come there without any disputes in both countries.... i am also a biker and love to take my bike all over the world.... all the best for your all future riding adventures.... may god bless you....,english,,,hey karl taking whole lot efforts make us see actually india partition made lot beautiful land undiscoverable us gods grace roaming wish could come without disputes countries biker love take bike world best future riding adventures may god bless
this is from which month?,english,,,month
he crosses into pakistan and takes the khorkurum sp? highway from. islamabad to gilgit. hes a new zealander who married a harayani woman. motorcycle trip,english,,,crosses pakistan takes khorkurum sp highway islamabad gilgit hes new zealander married harayani woman motorcycle trip
"the vlog was very absorbing karlrock. the wisest decision you ever made was to marry a haryanavi wife. they are very caring, beautiful and loyal.",english,,,vlog absorbing karlrock wisest decision ever made marry haryanavi wife caring beautiful loyal
naran route is much better and shortcut other route is disrupted and remains blocked in day due to dam construction,english,,,naran route much better shortcut route disrupted remains blocked day due dam construction
"bikes in pakistans ,,,we used these types in 1970",english,,,bikes pakistans used types 1970
"wenn man pakistan kennenlernen will, sind karl s videos das mittel der wahl, durch seine guten verständigungsmöglichkeiten schafft er ein spontanes vertrauen zu den leuten vor ort. allerdings ginge mir, gesetzt ich wäre ein local dieser komische typ, der da dauernd in sein box spricht ein wenig auf den keks. aber sobald dann ein gespräch zustande kommt, wird der einnehmende charme von karl alles glatt bügeln.",english,,,wenn man pakistan kennenlernen sind karl videos das mittel der wahl durch seine guten verstndigungsmglichkeiten schafft er ein spontanes vertrauen zu den leuten vor ort allerdings ginge mir gesetzt ich wre ein local dieser komische typ der da dauernd sein box spricht ein wenig auf den keks aber sobald dann ein gesprch zustande kommt wird der einnehmende charme von karl alles glatt bgeln
camera lens and drone please,english,,,camera lens drone please
"just mindblowing video, curious to know who shoot your couple videos?",english,,,mindblowing video curious know shoot couple videos
wow such romantic shots and the girl is married engaged apparently. boy her guy would be next level trusting and hope he is not disappointed,english,,,wow romantic shots girl married engaged apparently boy guy would next level trusting hope disappointed
"haha, i am a filipino but i also wonder why i love india.",english,,,haha filipino wonder love india
"then how politicians raise issues to win election with false promise in my country india how military dictate in case of pakistan btw i love united south asia from afghanistan to mayanmar , from nepal bhutan to sl were one , were united the day of judgement is near for our british cultured politicians...",english,,,politicians raise issues win election false promise country india military dictate case pakistan btw love united south asia afghanistan mayanmar nepal bhutan sl one united day judgement near british cultured politicians
love from kashmir imran vlogs19,english,,,love kashmir imran vlogs19
"shot,, its like a short film",english,,,shot like short film
i find myself escaping into a world where knowledge and free experience abound in a safe valuable environment. thank you karl rock.,english,,,find escaping world knowledge free experience abound safe valuable environment thank karl rock
excellent words from the young man at around 21 minutes. there are good and bad people everywhere. dont let the propaganda divide us. love to you all.,english,,,excellent words young man around 21 minutes good bad people everywhere let propaganda divide us love
zalzala means earth quake,english,,,zalzala means earth quake
background music name please??????????,english,,,background music name please
karl is the only person on earth that doesnt understand about carburator altitude jetting the bike did not have a problem it needed a 2 minute fix of needle jet clip height from center slot to 4 or 5 slot his air fuel ratio is off,english,,,karl person earth understand carburator altitude jetting bike problem needed minute fix needle jet clip height center slot slot air fuel ratio
karl rock can you meet shoaib chaudhari... at lahore,english,,,karl rock meet shoaib chaudhari lahore
more like wedding photoshoot..it could be much better...,english,,,like wedding photoshoot could much better
"the jewel of the northern pakistan, abbottabad, is the most peaceful and scenic city of pakistan with a population of two million individuals. known as the city of schools, it is home to the best private and government schools in pakistan. with a literacy rate of over 80 percent, abbottabad is also a seat of higher education with over 10 universities and medical colleges. abbottabad also hosts pakistan military academy, which is premier academy for the training of pakistan army officers.",english,,,jewel northern pakistan abbottabad peaceful scenic city pakistan population two million individuals known city schools home best private government schools pakistan literacy rate 80 percent abbottabad seat higher education 10 universities medical colleges abbottabad hosts pakistan military academy premier academy training pakistan army officers
1.09.07 the same our country though stable govt.....but rich becoming richer...poor becoming pooerer,english,,,09 07 country though stable govt rich becoming richer poor becoming pooerer
so sweet people are. weve given too much power to terrorist and haters.,english,,,sweet people weve given much power terrorist haters
"i am indian. hindu.. but, i would really really want to travel pakistan on my bike , meet n greet pakistan people amd experience the beautiful part of pakistan. lov from india.",english,,,indian hindu would really really want travel pakistan bike meet greet pakistan people amd experience beautiful part pakistan lov india
rajput sticker on car ?,english,,,rajput sticker car
"i have been following you from class 7 its been 7 years and you dont know bhaiya how much you inspires me, i have learned a lot about filmmaking editing and i just cant describe how much i wait for your videos you inspires me to push my limits, thank you so much bhaiya",english,,,following class years know bhaiya much inspires learned lot filmmaking editing describe much wait videos inspires push limits thank much bhaiya
qaiserjanjua6976 unblock,english,,,qaiserjanjua6976 unblock
"wonderful video of gilgits journey, thanks bro.",english,,,wonderful video gilgits journey thanks bro
you did not share anything with the needy dude... and you even say you have knowledge of sikhism and visited their temples...i understand that the people in shops did not take your money...but what about those kids you met on the way? they were needy...where was your heart?,english,,,share anything needy dude even say knowledge sikhism visited temples understand people shops take money kids met way needy heart
undivided india balakot royal enfield hes one of us!,english,,,undivided india balakot royal enfield hes one us
today i am watching your vlog is best..because this is my first appearance in your channel...nice vlog,english,,,today watching vlog best first appearance channel nice vlog
if any foreigner want to increase the subscribers on youtube then they should learn indian languages.,english,,,foreigner want increase subscribers youtube learn indian languages
sorry if i was not able to watch your video this time.. but im always praying for you sir. god bless!!,english,,,sorry able watch video time always praying sir god bless
wow,english,,,wow
"ive been following you karl since early stages and this video is overwhelming one of the best ever. thanks man!! your humbleness and respect for pakistaníes and indians is admirable and teach the world that we can get together. all the greetings man from tokyo, japan!!! love, bro!!",english,,,following karl since early stages video overwhelming one best ever thanks man humbleness respect pakistanes indians admirable teach world get together greetings man tokyo japan love bro
"hi karl, i am too from haryana. your documentary gave a beautiful insights of the region, people and beauty. and your way of picturisation is just great....congrats for that....i just want to know which camera have u used to shoot this documentary as the videos are very crisp and cinematic.. i would be very thankful if you respond...thanks ... keep vlogging",english,,,hi karl haryana documentary gave beautiful insights region people beauty way picturisation great congrats want know camera used shoot documentary videos crisp cinematic would thankful respond thanks keep vlogging
make a video on this vlog showing part by part clip explaining the camera lenses i just wanted to know each clip what lens u are used?,english,,,make video vlog showing part part clip explaining camera lenses wanted know clip lens used
travel video or apne album,english,,,travel video apne album
spot on!!,english,,,spot
iam watching a movie,english,,,iam watching movie
"on may 2, 2011, al qaeda leader osama bin laden was killed by us special forces during an early morning raid at a compound in abbottabad, pakistan. thats the place bru.",english,,,may 2011 al qaeda leader osama bin laden killed us special forces early morning raid compound abbottabad pakistan place bru
"most underrated travel vlogger ankit sir, your yellow jacket link please",english,,,underrated travel vlogger ankit sir yellow jacket link please
whaaat !! a 2 hr video .. what a treat !!,english,,,whaaat hr video treat
"how did you managed to make that decision to rent 150cc city bike for this ride. switching from re himalayan 350 to that, just didnt feel right at the beginning in this video. i understand how exerting it was.",english,,,managed make decision rent 150cc city bike ride switching himalayan 350 feel right beginning video understand exerting
"feels so sad, this was all india once.",english,,,feels sad india
"fun fact, this hindutvadi extremist thinks we wont notice his hindutvadi language of undivided india.",english,,,fun fact hindutvadi extremist thinks wont notice hindutvadi language undivided india
vloglove life,english,,,vloglove life
no indians? sounds like heaven,english,,,indians sounds like heaven
ammazing,english,,,ammazing
"ankit bro you are amazing your ideas, your style of making video is unbelievable man ,, i love it and fully enjoy it i will always follow you and take some interesting fact from u",english,,,ankit bro amazing ideas style making video unbelievable man love fully enjoy always follow take interesting fact
"question is how the kids know about how to convert,and forced to convert other religion people into islam this is one of the reason why people hate pakistani",english,,,question kids know convert forced convert religion people islam one reason people hate pakistani
kalma padho musalman hojaooo isme bahat fyda he ! disgusting,english,,,kalma padho musalman hojaooo isme bahat fyda disgusting
watching your videos feel like goosebumps,english,,,watching videos feel like goosebumps
what was that ?,english,,,
that kid who did not even know you simply tried to convert you. those are future jihadis who will be infiltrating kashmir.,english,,,kid even know simply tried convert future jihadis infiltrating kashmir
dsro k 7 aise nhi ghumna chahiye bhabhi bura man jayegi,english,,,dsro aise nhi ghumna chahiye bhabhi bura man jayegi
superb ... it seems like a pre wedding shoot dont mind,english,,,superb seems like pre wedding shoot mind
brother great piece of creation....need to learn vlogging from u,english,,,brother great piece creation need learn vlogging
indianapolis 500the biggest race in the world,english,,,indianapolis 500the biggest race world
bhaiya,english,,,bhaiya
nice hindi bro,english,,,nice hindi bro
im kashmiri but indeed pahalgam is beautiful than other famous places,english,,,kashmiri indeed pahalgam beautiful famous places
rajput sign on that car window,english,,,rajput sign car window
is this old video or you shooted this year nov 2024,english,,,old video shooted year nov 2024
"love your video! wonderful, so informative, so genuine! thank you.",english,,,love video wonderful informative genuine thank
hello sir,english,,,hello sir
part 2,english,,,part
superb,english,,,superb
who noticed rajput?,english,,,noticed rajput
watching this from new jersey pretty impressive,english,,,watching new jersey pretty impressive
nice bro,english,,,nice bro
seen the full video without skipping a single minute. well done brother. loved it.,english,,,seen full video without skipping single minute well done brother loved
"reliable honda !! 150cc, probably carburetor based done great in low oxygen. spark plug issue is due to adulterated fuel and poor maintenance.",english,,,reliable honda 150cc probably carburetor based done great low oxygen spark plug issue due adulterated fuel poor maintenance
brain washed kids .,english,,,brain washed kids
irony is its india only but indians cant go. bro you should change the template and write if it was still in indian administration it was more beautiful and well taken care off.,english,,,irony india indians go bro change template write still indian administration beautiful well taken care
clutch plates of bike are gone,english,,,clutch plates bike gone
dont worry after 2030 we can go there after all it is ours.....,english,,,worry 2030 go
so we are watching a snow movie,english,,,watching snow movie
thank you for taking me to places i dream of going !! especially on a motorcycle,english,,,thank taking places dream going especially motorcycle
i agree with sister conveying why boarders when we have common things in our lifes.,english,,,agree sister conveying boarders common things lifes
you have a clutch problem!,english,,,clutch problem
"if there is not hatredness there would be no war and if there is no war there would be no weapons, ultimately the big money minting mncs will be destroyed, politicians wont get vote, government will become less relevant. war, hatredness is like an illusion. in the the name of nationalism, patriotism they are controlling us, the common public, peoples like you and me.",english,,,hatredness would war war would weapons ultimately big money minting mncs destroyed politicians wont get vote government become less relevant war hatredness like illusion name nationalism patriotism controlling us common public peoples like
"hi bro looks great, could you help me out",english,,,hi bro looks great could help
india never strike on blakot thats lie but pakistan have a evidence to catch a pilot and crash two indian army aircraft you can see of evidence tea was fantastic,english,,,india never strike blakot lie pakistan evidence catch pilot crash two indian army aircraft see evidence tea fantastic
she accepted her forfathers were converted to islam by edge of swords why hindu muslim hate each other simple answer muslims want to convert every human in islam we hindus dont like n dont want to force our beliefs to anyone,english,,,accepted forfathers converted islam edge swords hindu muslim hate simple answer muslims want convert every human islam hindus like want force beliefs anyone
does your phone not overheat under direct sunlight for so long,english,,,phone overheat direct sunlight long
karl khan. you look so handsome as karl khan. you are so white and with that black costume you look like pathan,english,,,karl khan look handsome karl khan white black costume look like pathan
many indians visited these places before,english,,,many indians visited places
"you should have gone to shogran as well, one the way to naran",english,,,gone shogran well one way naran
they dont allow it for one single reason. they dont want it to explode in pakistan.,english,,,allow one single reason want explode pakistan
yeh log hmari hi vellay ka vedio bna kr hum hi ko dekha rahay hai kashmiri attendance,english,,,yeh log hmari hi vellay ka vedio bna kr hum hi ko dekha rahay hai kashmiri attendance
i also wanna visit pakistan hopefully one day ill have the opportunity,english,,,visit pakistan hopefully one day ill opportunity
great,english,,,great
"that was so sweetan example of pakistani hospitality and friendliness, whatever you choose to call it. love from bangladesh.",english,,,sweetan example pakistani hospitality friendliness whatever choose call love bangladesh
im big fan bhaiya,english,,,big fan bhaiya
pakistanis not taking money from foreign guests is something ive heard from many people. i think thats very beautiful.,english,,,pakistanis taking money foreign guests something heard many people think beautiful
i am going to take it really slow to wherere we go . of course its a 150cc,english,,,going take really slow wherere go course 150cc
gulabi dil,english,,,gulabi dil
thats literally everyday life in chennai as you probably know,english,,,literally everyday life chennai probably know
so called indian strike in balakot,english,,,called indian strike balakot
it is true that all pakistanis were hindus at one point. there is no reason for the pakistanis to use islam to hate other religions. a true human being looks beyond the religion.,english,,,true pakistanis hindus one point reason pakistanis use islam hate religions true human looks beyond religion
how is babusar top a disputed territory? its not in kashmir. its in the kp province of pakistan instead. i appreciate your vlogs but please dont spread wrong info. peace,english,,,babusar top disputed territory kashmir kp province pakistan instead appreciate vlogs please spread wrong info peace
in 35 yr pakistan kasmir would be in india india would have kasmir and pakistan will barke apart into pieces in 35 yr,english,,,35 yr pakistan kasmir would india india would kasmir pakistan barke apart pieces 35 yr
very nice,english,,,nice
nariya ki princess lg rhi h ap,english,,,nariya ki princess lg rhi ap
gun market conveniently located within transport hub and school !!!,english,,,gun market conveniently located within transport hub school
great content first btw,english,,,great content first btw
i cant skip a second,english,,,skip second
