comment,lang,label,notes
i am a canadian now based in toronto originally from islamabad and this was just awesome,english,,
"become a muslim, is good for u hey kids go study.",english,,
welcome to kashmir..and great cinematics bro.,english,,
"de paratha , de paratha,, karl bhai being desi",english,,
you can see a smile face on the mountain at mid mountain,english,,
editing color grading are toooooo osssmmm,english,,
cant believe indians could visit this beauty before 1947,english,,
watching from nepal and i have also dream to travel like you you are my inspiration on my youtube journey,english,,
"it was indeed just a show, but they did kill someone who wasnt him",english,,
"ankit your video are always bliss to watch, i have a request can you guide and tell about your winter jackets collection....?",english,,
make it viral until og kashmiri samay raina noticed it.,english,,
nice...,english,,
who is anju kurian?,english,,
"yo karl, this doc is bimbo! me like da way you pieced it all together! and da fact you didnt give up despite all the various shenanigans!take care!",english,,
"very nice content! im planning to drive my car from spain to thailand next year, with spanish number plate. do you think its possible to cross the pakistanindian border with a valid cpd? i heard its impossible to cross with private vehicles...",english,,
"karl, thank you for this video bro. it was an awesome insight into the various parts and culture of pakistan. i leave for my month of travelling pakistan in a few weeks, helped on by you and this incredible film. cheers mate!",english,,
"breath taking and beautiful! gilgit is disputed land and so is kashmir. both are under the un resolution awaiting referendum. but looks like pakistan maintains high security to safeguard locals n tourists, unlike the neighbor. people are people, its only love. people stare because there is very little in their space. some commented about the religious school, but probably that is all that they have, the state is bankrupt to run schools and children drop out of schools at high rate in this state. so dont be quick to point finger but read more to know more. school offers discipline to young mind be conventional or of a religious designation. lets be kind to each other especially children. hunza people are healthiest in this world. i am glad pakistan has taken good care of the region. nothing industrial built, topography maintained and people look to be at peace.people are commenting about kids marketing the kalma.... at least there are no violent mobs like happens in india where they force minority to say jai shree ram.yogi is setting up up summer hindu schools, how does that sound? perspectives!",english,,
he is truly an indian now for saying that lol,english,,
childrens try to convert hum in islamno future for pakistan,english,,
pick of the video was the boy tried to convert you. you got scared and literally run away. hilarious.,english,,
amazing cinematography really proud to be your subscriber. keep growing,english,,
loved it,english,,
you look like avinash big boss wala,english,,
hey man why didnt you showed naran bazaar or the beautiful scenery on the way. it felt like your purposely not showing any of the famous and beautiful destinations in between the route. disappointed,english,,
ankit where is sarika why she doesnt come on vlogs???,english,,
"nice vlog tbh, however some of your information is probably coming from the indian pov. gilgit baltistan is not pok, it is a separate territory but it shares border with azad jammu and kashmir pok. and gb is also not disputed land, and it is as easy to go the gb for a foreigner as it is for visiting the other parts of the country.",english,,
"the video was really good but i have a question that , drones are allowed in kashmir or not ?",english,,
shes so beautiful and her voice,english,,
o mai bhi story telling video banaya,english,,
the way they had brain wash this kids is next level even this small kids want kalma recite karo muslim ban jao,english,,
thanks for really so interesting and valuable video as always!,english,,
thanks for motivated,english,,
which month is this??,english,,
"you are just versatile youcan speak urdu ,,hindi,,musl",english,,
"that girl also made me cry. so great to see the other side of border in terms of culture, thoughts and perspective.",english,,
how did you shoot drone footages in kashmir? did you need to take any permissions?,english,,
and now i miss home,english,,
"calling pakistan a part of undivided india is idiotic. its a part of undivided british india perhaps, but kpk and balochistan are not part of india...as a pashtun i dont consider my heritage to be indian at all. its afghan if you argue that is also indian then you have an agenda.",english,,
pakistan is super modernised o,english,,
n0t even started but very exited rock u truly rock,english,,
"one day, the world will awaken to a time when borders fade, passports become memories, and humanity stands unitedbound only by compassion, not by divisions.",english,,
