video_id,type
gC_WoD1Yeo4,foreign
0RiGUKLXWLY,indian
sLdm8ejXoJ4,indian
v2TPe2KRlHQ,indian
orlUDdeoxZQ,foreign
MK2ZG0brE5k,indian
rzXmbMMFhuM,foreign
FF5xSgnPjuY,indian
qzN7UY4D8VQ,indian
MxE30LlukrM,indian
B8S2jhWwTDg,indian
_e8BFrAPedM,indian
TtdoB7mr3kU,indian
GGjrkOQscEg,foreign
EG_fPTYT0RU,indian
1ISRFpzMs_4,foreign
9E99MD-YygE,foreign
HKNGn5csxQc,foreign
Cqg8tQH4U8M,foreign
gLGcgEImtGo,indian
sIRb7fBP7zM,foreign
cNoXz-g75T4,indian
qyNqy-RoRMs,foreign
pGwvjZOZx4M,foreign
ii4BwvA6sLE,indian
q93CaRz4ELo,indian
1WbgysDRVqM,indian
ulu2dc90Q9M,indian
fvhxO1J0il4,indian
cJLYIAAyyUs,indian
AmhsqnO1XYU,indian
_RDJoj9wmrA,foreign
qKGB98PQED4,foreign
doXhzGDZPdw,foreign
MlkCbWugeio,foreign
fq0WE9EWiso,foreign
lsTgWn9FEQc,foreign
716EESamAMk,indian
QfzO-AuAhsM,foreign
ti39UJYgc5s,indian
dZ9u19gW9ls,indian
ITh64G3A0zQ,indian
_P8jr8AE0WM,indian
jhJcA-8f7zk,indian
OGe5213vCjI,indian
ErUi7R3dSOs,indian
2k7z1D26lh8,foreign
syoGnb8p6ig,indian
AuT0_1eRQuU,indian
m7fD_Vem-Nw,foreign
